frame nummer,LabelName,XMin,XMax,YMin,YMax
0,p1,105,912,312,1077
0,pimg,755,970,177,623
0,pimg,0,148,379,684
0,pimg,282,452,387,684
0,pimg,1061,1280,254,618
0,pimg,1427,1636,257,617
0,p2,849,1768,120,1080
1,p1,103,910,318,1080
1,pimg,755,970,177,623
1,pimg,0,147,379,684
1,pimg,282,451,387,684
1,pimg,1060,1280,254,618
1,pimg,1426,1636,257,617
1,p2,849,1768,121,1080
2,p1,105,912,312,1077
2,pimg,755,970,177,623
2,pimg,0,147,379,684
2,pimg,281,451,387,684
2,pimg,1060,1280,254,618
2,pimg,1426,1636,257,617
2,p2,848,1767,121,1080
3,p1,100,912,315,1077
3,pimg,755,970,177,623
3,pimg,0,147,379,684
3,pimg,281,451,387,684
3,pimg,1060,1280,254,618
3,pimg,1426,1636,257,616
3,p2,847,1767,122,1080
4,p1,99,912,313,1077
4,pimg,755,970,177,623
4,pimg,0,146,379,684
4,pimg,280,450,387,684
4,pimg,1060,1280,254,618
4,pimg,1426,1636,257,616
4,p2,847,1766,122,1080
5,p1,99,912,314,1077
5,pimg,755,970,177,623
5,pimg,0,146,379,684
5,pimg,280,450,387,684
5,pimg,1060,1280,254,618
5,pimg,1426,1636,257,616
5,p2,846,1765,123,1080
6,p1,100,912,314,1077
6,pimg,755,970,177,623
6,pimg,0,146,379,684
6,pimg,280,449,387,684
6,pimg,1060,1280,254,618
6,pimg,1426,1636,257,616
6,p2,846,1765,124,1080
7,p1,99,912,314,1077
7,pimg,755,970,177,623
7,pimg,0,145,379,684
7,pimg,279,449,387,684
7,pimg,1060,1280,254,618
7,pimg,1426,1636,257,616
7,p2,845,1764,124,1080
8,p1,99,912,314,1077
8,pimg,755,970,177,623
8,pimg,0,145,379,684
8,pimg,279,449,387,684
8,pimg,1059,1280,254,618
8,pimg,1426,1636,257,616
8,p2,844,1763,125,1080
9,p1,98,912,313,1077
9,pimg,755,970,177,623
9,pimg,0,144,379,684
9,pimg,278,448,387,684
9,pimg,1059,1280,254,618
9,pimg,1426,1636,257,616
9,p2,844,1763,126,1080
10,p1,99,912,314,1077
10,pimg,755,970,177,623
10,pimg,0,144,379,684
10,pimg,278,448,387,684
10,pimg,1059,1280,254,618
10,pimg,1426,1636,257,616
10,p2,843,1762,126,1080
11,p1,99,912,314,1077
11,pimg,755,970,177,623
11,pimg,0,144,379,684
11,pimg,278,447,387,684
11,pimg,1059,1280,254,618
11,pimg,1425,1636,256,616
11,p2,843,1762,126,1080
12,p1,100,912,313,1077
12,pimg,755,970,177,623
12,pimg,0,144,379,684
12,pimg,277,447,387,684
12,pimg,1058,1280,254,618
12,pimg,1425,1636,256,616
12,p2,843,1761,126,1080
13,p1,96,912,309,1077
13,pimg,755,970,177,623
13,pimg,0,143,379,684
13,pimg,277,446,386,684
13,pimg,1058,1280,254,618
13,pimg,1425,1636,256,616
13,p2,843,1761,126,1080
14,p1,95,912,313,1077
14,pimg,755,970,177,623
14,pimg,0,143,379,684
14,pimg,276,446,386,684
14,pimg,1058,1280,254,618
14,pimg,1425,1636,256,616
14,p2,843,1760,126,1080
15,p1,96,912,313,1077
15,pimg,755,970,177,623
15,pimg,0,143,379,684
15,pimg,276,445,386,684
15,pimg,1058,1280,254,618
15,pimg,1425,1636,256,616
15,p2,843,1760,126,1080
16,p1,96,912,308,1077
16,pimg,755,970,177,623
16,pimg,0,143,379,684
16,pimg,275,445,386,684
16,pimg,1057,1280,254,618
16,pimg,1425,1636,256,616
16,p2,843,1759,126,1080
17,p1,96,912,313,1077
17,pimg,755,970,177,623
17,pimg,0,142,379,684
17,pimg,275,444,386,683
17,pimg,1057,1280,254,618
17,pimg,1425,1636,256,616
17,p2,843,1759,126,1080
18,p1,95,912,309,1077
18,pimg,755,970,177,623
18,pimg,0,142,379,684
18,pimg,274,444,386,683
18,pimg,1057,1280,254,618
18,pimg,1425,1636,256,616
18,p2,843,1759,126,1080
19,p1,95,912,310,1077
19,pimg,755,970,177,623
19,pimg,0,142,379,684
19,pimg,273,443,386,683
19,pimg,1056,1280,254,618
19,pimg,1425,1636,256,615
19,p2,843,1758,126,1080
20,p1,94,912,317,1077
20,pimg,755,970,177,623
20,pimg,0,141,379,684
20,pimg,273,443,386,683
20,pimg,1056,1280,254,618
20,pimg,1424,1636,256,615
20,p2,843,1758,126,1080
21,p1,91,912,308,1077
21,pimg,755,970,177,623
21,pimg,0,141,379,684
21,pimg,273,442,385,683
21,pimg,1056,1280,254,618
21,pimg,1424,1636,256,615
21,p2,843,1757,126,1080
22,p1,93,912,312,1077
22,pimg,755,970,177,623
22,pimg,0,141,379,684
22,pimg,272,442,385,683
22,pimg,1055,1280,254,618
22,pimg,1424,1636,256,615
22,p2,843,1757,126,1080
23,p1,91,912,312,1077
23,pimg,755,970,177,623
23,pimg,0,140,379,684
23,pimg,272,442,385,683
23,pimg,1055,1280,254,618
23,pimg,1424,1636,256,615
23,p2,843,1756,126,1080
24,p1,91,912,312,1077
24,pimg,755,970,177,623
24,pimg,0,140,379,684
24,pimg,271,441,385,683
24,pimg,1055,1280,254,618
24,pimg,1424,1636,256,615
24,p2,843,1756,126,1080
25,p1,90,912,312,1077
25,pimg,755,970,177,623
25,pimg,0,140,379,684
25,pimg,271,441,385,682
25,pimg,1054,1280,254,618
25,pimg,1424,1636,256,615
25,p2,843,1755,126,1080
26,p1,91,912,312,1077
26,pimg,755,970,177,623
26,pimg,0,139,379,684
26,pimg,271,440,385,682
26,pimg,1054,1280,254,618
26,pimg,1424,1636,256,615
26,p2,843,1755,126,1080
27,p1,91,912,312,1077
27,pimg,755,970,177,623
27,pimg,0,139,379,684
27,pimg,270,440,385,682
27,pimg,1054,1280,254,618
27,pimg,1424,1635,255,615
27,p2,843,1754,126,1080
28,p1,93,912,312,1077
28,pimg,755,970,177,623
28,pimg,0,138,379,684
28,pimg,270,440,385,682
28,pimg,1054,1280,254,618
28,pimg,1424,1635,255,615
28,p2,843,1754,126,1080
29,p1,90,912,312,1077
29,pimg,755,970,177,623
29,pimg,0,138,379,684
29,pimg,270,439,384,682
29,pimg,1053,1280,254,618
29,pimg,1423,1635,255,615
29,p2,843,1753,126,1080
30,p1,89,912,312,1077
30,pimg,755,970,177,623
30,pimg,0,138,379,684
30,pimg,269,439,384,682
30,pimg,1053,1280,254,618
30,pimg,1423,1635,255,615
30,p2,843,1753,126,1080
31,p1,85,907,312,1077
31,pimg,747,942,179,613
31,pimg,0,137,379,684
31,pimg,269,439,384,682
31,pimg,1053,1280,254,618
31,pimg,1423,1635,255,615
31,p2,843,1751,126,1080
32,p1,85,907,312,1077
32,pimg,747,942,179,613
32,pimg,0,137,379,684
32,pimg,269,439,384,682
32,pimg,1053,1280,253,618
32,pimg,1423,1635,255,615
32,p2,843,1750,125,1080
33,p1,77,907,312,1077
33,pimg,747,942,179,613
33,pimg,0,137,379,684
33,pimg,269,439,384,682
33,pimg,1053,1280,253,618
33,pimg,1423,1635,255,615
33,p2,843,1748,125,1080
34,p1,79,900,309,1077
34,pimg,747,942,179,613
34,pimg,0,137,379,684
34,pimg,269,439,384,682
34,pimg,1053,1280,253,618
34,pimg,1423,1635,255,615
34,p2,843,1746,124,1080
35,p1,75,900,310,1077
35,pimg,747,943,179,613
35,pimg,0,136,379,684
35,pimg,269,439,384,682
35,pimg,1053,1280,253,618
35,pimg,1423,1635,255,614
35,p2,843,1745,124,1080
36,p1,79,900,314,1077
36,pimg,747,943,179,613
36,pimg,0,136,379,684
36,pimg,270,439,384,682
36,pimg,1053,1280,252,618
36,pimg,1423,1635,255,614
36,p2,843,1743,123,1080
37,p1,79,900,314,1077
37,pimg,747,943,179,613
37,pimg,0,136,379,684
37,pimg,270,439,384,682
37,pimg,1053,1280,252,618
37,pimg,1423,1635,255,614
37,p2,843,1741,123,1080
38,p1,79,900,314,1077
38,pimg,748,943,179,613
38,pimg,0,136,379,684
38,pimg,270,439,384,682
38,pimg,1053,1280,252,618
38,pimg,1423,1635,255,614
38,p2,843,1739,123,1080
39,p1,79,900,314,1077
39,pimg,748,943,179,613
39,pimg,0,135,379,684
39,pimg,270,439,384,682
39,pimg,1053,1280,252,618
39,pimg,1422,1635,255,614
39,p2,843,1738,122,1080
40,p1,89,900,314,1077
