frame nummer,LabelName,XMin,XMax,YMin,YMax
0,pimg,755,970,177,623
0,pimg,0,148,379,684
0,pimg,282,452,387,684
0,pimg,1427,1636,257,617
1,pimg,755,970,177,623
1,pimg,0,147,379,684
1,pimg,282,451,387,684
1,pimg,1426,1636,257,617
2,pimg,755,970,177,623
2,pimg,0,147,379,684
2,pimg,281,451,387,684
2,pimg,1426,1636,257,617
3,pimg,755,970,177,623
3,pimg,0,147,379,684
3,pimg,281,451,387,684
3,pimg,1426,1636,257,616
4,pimg,755,970,177,623
4,pimg,0,146,379,684
4,pimg,280,450,387,684
4,pimg,1426,1636,257,616
5,pimg,755,970,177,623
5,pimg,0,146,379,684
5,pimg,280,450,387,684
5,pimg,1426,1636,257,616
6,pimg,755,970,177,623
6,pimg,0,146,379,684
6,pimg,1426,1636,257,616
7,pimg,755,970,177,623
7,pimg,0,145,379,684
7,pimg,1426,1636,257,616
8,pimg,755,970,177,623
8,pimg,0,145,379,684
8,pimg,279,449,387,684
8,pimg,1426,1636,257,616
9,pimg,755,970,177,623
9,pimg,0,144,379,684
9,pimg,278,448,387,684
9,pimg,1426,1636,257,616
10,pimg,755,970,177,623
10,pimg,0,144,379,684
10,pimg,278,448,387,684
10,pimg,1426,1636,257,616
11,pimg,755,970,177,623
11,pimg,0,144,379,684
11,pimg,278,447,387,684
11,pimg,1425,1636,256,616
12,pimg,755,970,177,623
12,pimg,0,144,379,684
12,pimg,277,447,387,684
12,pimg,1425,1636,256,616
13,pimg,755,970,177,623
13,pimg,0,143,379,684
13,pimg,277,446,386,684
13,pimg,1425,1636,256,616
14,pimg,755,970,177,623
14,pimg,0,143,379,684
14,pimg,276,446,386,684
14,pimg,1425,1636,256,616
15,pimg,755,970,177,623
15,pimg,0,143,379,684
15,pimg,276,445,386,684
15,pimg,1425,1636,256,616
16,pimg,755,970,177,623
16,pimg,0,143,379,684
16,pimg,275,445,386,684
16,pimg,1425,1636,256,616
17,pimg,755,970,177,623
17,pimg,0,142,379,684
17,pimg,275,444,386,683
17,pimg,1425,1636,256,616
18,pimg,755,970,177,623
18,pimg,0,142,379,684
18,pimg,274,444,386,683
18,pimg,1425,1636,256,616
19,pimg,755,970,177,623
19,pimg,0,142,379,684
19,pimg,273,443,386,683
19,pimg,1425,1636,256,615
20,pimg,755,970,177,623
20,pimg,0,141,379,684
20,pimg,273,443,386,683
20,pimg,1424,1636,256,615
21,pimg,755,970,177,623
21,pimg,0,141,379,684
21,pimg,273,442,385,683
21,pimg,1424,1636,256,615
22,pimg,755,970,177,623
22,pimg,0,141,379,684
22,pimg,272,442,385,683
22,pimg,1424,1636,256,615
23,pimg,755,970,177,623
23,pimg,0,140,379,684
23,pimg,272,442,385,683
23,pimg,1424,1636,256,615
24,pimg,755,970,177,623
24,pimg,0,140,379,684
24,pimg,271,441,385,683
24,pimg,1424,1636,256,615
25,pimg,755,970,177,623
25,pimg,0,140,379,684
25,pimg,271,441,385,682
25,pimg,1424,1636,256,615
26,pimg,755,970,177,623
26,pimg,0,139,379,684
26,pimg,271,440,385,682
26,pimg,1424,1636,256,615
27,pimg,755,970,177,623
27,pimg,0,139,379,684
27,pimg,270,440,385,682
27,pimg,1424,1635,255,615
28,pimg,755,970,177,623
28,pimg,0,138,379,684
28,pimg,270,440,385,682
28,pimg,1424,1635,255,615
29,pimg,755,970,177,623
29,pimg,0,138,379,684
29,pimg,270,439,384,682
29,pimg,1423,1635,255,615
30,pimg,755,970,177,623
30,pimg,0,138,379,684
30,pimg,269,439,384,682
30,pimg,1423,1635,255,615
31,pimg,747,942,179,613
31,pimg,0,137,379,684
31,pimg,269,439,384,682
31,pimg,1423,1635,255,615
32,pimg,747,942,179,613
32,pimg,0,137,379,684
32,pimg,269,439,384,682
32,pimg,1423,1635,255,615
33,pimg,747,942,179,613
33,pimg,0,137,379,684
33,pimg,269,439,384,682
33,pimg,1423,1635,255,615
34,pimg,747,942,179,613
34,pimg,0,137,379,684
34,pimg,269,439,384,682
34,pimg,1423,1635,255,615
35,pimg,747,943,179,613
35,pimg,0,136,379,684
35,pimg,269,439,384,682
35,pimg,1423,1635,255,614
36,pimg,747,943,179,613
36,pimg,0,136,379,684
36,pimg,270,439,384,682
36,pimg,1423,1635,255,614
37,pimg,747,943,179,613
37,pimg,0,136,379,684
37,pimg,270,439,384,682
37,pimg,1423,1635,255,614
38,pimg,748,943,179,613
38,pimg,0,136,379,684
38,pimg,270,439,384,682
38,pimg,1423,1635,255,614
39,pimg,748,943,179,613
39,pimg,0,135,379,684
39,pimg,270,439,384,682
39,pimg,1422,1635,255,614
40,pimg,748,943,179,613
40,pimg,0,135,379,684
40,pimg,1422,1635,255,614
41,pimg,748,943,179,613
41,pimg,0,135,379,684
41,pimg,1422,1635,255,614
42,pimg,748,944,179,613
42,pimg,0,134,379,684
42,pimg,1421,1634,255,614
43,pimg,748,944,179,613
43,pimg,0,134,379,684
43,pimg,1420,1634,255,615
44,pimg,749,944,179,613
44,pimg,0,134,379,684
44,pimg,1420,1634,255,615
45,pimg,749,944,179,613
45,pimg,0,133,379,684
46,pimg,749,944,179,613
46,pimg,0,133,379,684
46,pimg,1419,1633,255,615
47,pimg,749,944,179,613
47,pimg,0,132,379,684
47,pimg,1418,1632,256,615
48,pimg,749,944,179,613
48,pimg,0,132,379,684
48,pimg,1417,1632,256,615
49,pimg,749,945,179,613
49,pimg,0,132,379,684
49,pimg,1417,1632,256,615
50,pimg,749,945,179,613
50,pimg,0,131,379,684
50,pimg,1416,1631,256,615
51,pimg,750,945,179,613
51,pimg,0,131,380,684
52,pimg,750,945,179,613
52,pimg,0,131,380,684
52,pimg,1416,1631,255,615
53,pimg,750,945,179,613
53,pimg,0,131,380,684
54,pimg,750,945,179,613
54,pimg,0,130,381,684
55,pimg,750,946,179,613
55,pimg,0,130,381,684
56,pimg,750,946,179,613
56,pimg,0,130,381,684
