frame nummer,x1=,y1=,x2=,y2=,time=
133,162,332,901,1014,11.778170585632324
134,140,331,896,1014,11.855623483657835
135,130,332,893,1015,11.932655334472656
136,122,333,891,1015,12.010693073272703
137,119,332,889,1014,12.08713412284851
138,118,332,888,1015,12.165660619735718
141,0,406,153,650,12.396235466003418
142,0,408,155,652,12.473272800445557
143,0,409,158,654,12.549809217453005
144,0,411,159,655,12.627333879470823
145,1,410,161,654,12.70484471321106
146,8,410,166,653,12.782292604446411
147,17,412,171,653,12.860313415527344
148,22,410,176,654,12.936847448349
149,27,413,180,654,13.014400005340576
150,32,415,185,657,13.091797351837158
151,37,416,189,658,13.169335126876833
152,43,417,192,655,13.246356964111328
153,43,420,197,659,13.323872327804564
154,48,418,201,655,13.401894807815552
155,51,417,203,653,13.478910446166992
156,56,415,205,654,13.559319496154783
157,59,416,209,654,13.63734006881714
158,65,418,211,654,13.71487045288086
159,67,418,213,655,13.788406133651732
160,68,418,214,654,13.865804433822632
161,68,416,215,653,13.9443256855011
162,69,416,215,653,14.019853115081789
163,69,417,215,653,14.098304748535156
164,69,417,215,653,14.175521612167358
165,70,415,215,651,14.252055168151855
166,71,415,216,652,14.328814029693604
167,71,415,216,652,14.406307220458984
168,71,415,217,653,14.484308958053589
169,70,416,218,655,14.56183671951294
170,74,417,219,654,14.6388680934906
171,73,416,219,653,14.716390609741213
172,73,415,219,652,14.793210744857788
173,71,415,219,653,14.87066388130188
174,73,415,219,653,14.947977304458618
175,73,412,217,649,15.025505065917969
176,70,408,215,648,15.103027820587158
177,69,408,215,649,15.18004035949707
178,70,408,214,647,15.257582426071169
179,69,407,215,646,15.335126638412476
180,66,407,212,645,15.411895751953123
181,64,407,211,647,15.488767862319946
182,66,407,213,646,15.568793773651125
183,66,405,214,643,15.646455526351929
184,66,403,213,642,15.72398066520691
185,66,402,214,641,15.802015781402588
186,66,400,214,638,15.878335952758787
187,67,399,214,638,15.957678079605104
188,65,401,212,638,16.033830404281616
189,65,399,213,638,16.11151647567749
190,67,396,214,637,16.185177326202393
191,68,394,215,636,16.262012004852295
192,68,392,215,633,16.339032411575317
193,68,392,215,633,16.416557550430298
194,69,393,217,633,16.49366021156311
195,68,392,216,632,16.570333003997803
196,68,390,215,632,16.647353410720825
197,68,389,216,630,16.724880695343018
198,68,390,217,630,16.80240535736084
199,69,389,217,629,16.88041591644287
200,71,387,219,628,16.957003116607666
201,71,387,220,628,17.034024238586426
202,73,387,223,627,17.111690759658813
203,77,386,224,627,17.188226222991943
204,76,385,225,626,17.265662670135498
205,81,386,228,627,17.34300661087036
206,82,385,228,626,17.420552492141724
207,82,384,228,624,17.49718451499939
208,79,382,228,622,17.57470726966858
209,80,379,226,619,17.65122938156128
210,78,378,226,617,17.72853422164917
211,77,374,225,616,17.80656337738037
212,77,372,225,614,17.88309144973755
213,77,372,225,613,17.96362066268921
214,77,371,226,612,18.041040897369385
215,77,369,225,612,18.11906576156616
216,76,369,224,609,18.19608044624329
217,78,368,226,609,18.273250102996823
218,78,367,226,609,18.34988689422608
219,79,365,226,608,18.42740297317505
220,79,364,227,607,18.505938053131104
221,79,364,227,607,18.58095574378968
222,79,364,227,606,18.65698838233948
223,78,361,227,604,18.73402976989746
224,79,361,227,603,18.811059713363647
225,79,361,227,604,18.888973474502563
226,79,361,227,604,18.966688871383667
227,79,359,226,602,19.043721675872803
228,78,359,227,602,19.12074828147888
229,79,359,227,602,19.19852185249329
230,79,359,228,600,19.27555012702942
231,79,358,228,600,19.3530170917511
232,80,355,227,599,19.43052840232849
233,82,357,228,599,19.50705361366272
234,81,355,228,598,19.58506941795349
235,82,354,229,597,19.661606550216675
236,84,355,229,598,19.73903608322144
237,86,355,231,598,19.81606435775757
