frame nummer,LabelName,XMin,XMax,YMin,YMax
0,pimg,1061,1280,254,618
1,pimg,1060,1280,254,618
2,pimg,1060,1280,254,618
3,pimg,1060,1280,254,618
4,pimg,280,450,387,684
4,pimg,1060,1280,254,618
5,pimg,280,450,387,684
5,pimg,1060,1280,254,618
6,pimg,280,449,387,684
6,pimg,1060,1280,254,618
7,pimg,1060,1280,254,618
8,pimg,1059,1280,254,618
9,pimg,1059,1280,254,618
10,pimg,278,448,387,684
10,pimg,1059,1280,254,618
11,pimg,278,447,387,684
11,pimg,1059,1280,254,618
12,pimg,1058,1280,254,618
13,pimg,277,446,386,684
13,pimg,1058,1280,254,618
14,pimg,1058,1280,254,618
15,pimg,276,445,386,684
15,pimg,1058,1280,254,618
16,pimg,1057,1280,254,618
17,pimg,1057,1280,254,618
18,pimg,1057,1280,254,618
19,pimg,1056,1280,254,618
20,pimg,1056,1280,254,618
21,pimg,1056,1280,254,618
22,pimg,1055,1280,254,618
23,pimg,272,442,385,683
23,pimg,1055,1280,254,618
24,pimg,1055,1280,254,618
25,pimg,271,441,385,682
25,pimg,1054,1280,254,618
26,pimg,271,440,385,682
26,pimg,1054,1280,254,618
27,pimg,1054,1280,254,618
28,pimg,1054,1280,254,618
29,pimg,1053,1280,254,618
30,pimg,1053,1280,254,618
31,pimg,1053,1280,254,618
32,pimg,1053,1280,253,618
33,pimg,1053,1280,253,618
34,pimg,1053,1280,253,618
35,pimg,1053,1280,253,618
36,pimg,1053,1280,252,618
37,pimg,1053,1280,252,618
38,pimg,1053,1280,252,618
39,pimg,1053,1280,252,618
40,pimg,1053,1280,251,618
44,pimg,1053,1280,251,618
45,pimg,1053,1280,250,618
48,pimg,1053,1280,250,618
49,pimg,1053,1280,249,618
50,pimg,267,437,385,683
50,pimg,1053,1280,249,618
51,pimg,267,437,385,683
51,pimg,1053,1280,249,618
52,pimg,267,437,385,683
52,pimg,1053,1280,249,618
53,pimg,267,436,386,683
53,pimg,1053,1280,249,618
54,pimg,266,436,386,683
54,pimg,1053,1280,249,618
55,pimg,266,436,386,683
55,pimg,1053,1280,249,618
56,pimg,266,436,386,683
56,pimg,1054,1280,249,618
57,pimg,266,435,386,683
57,pimg,1054,1280,248,618
58,pimg,265,435,386,683
58,pimg,1054,1281,248,617
59,pimg,265,435,386,684
59,pimg,1054,1281,248,617
60,pimg,265,435,386,684
60,pimg,1054,1281,248,617
61,pimg,1054,1281,248,617
62,pimg,265,435,386,684
62,pimg,1054,1281,248,617
63,pimg,266,435,386,684
63,pimg,1054,1281,248,617
64,pimg,266,436,386,684
64,pimg,1054,1281,248,617
65,pimg,266,436,386,684
65,pimg,1055,1281,248,617
66,pimg,266,436,386,684
66,pimg,1055,1281,247,617
67,pimg,267,436,386,684
67,pimg,1055,1282,247,617
68,pimg,267,437,386,684
68,pimg,1055,1282,247,616
69,pimg,267,437,386,684
69,pimg,1055,1282,247,616
70,pimg,267,437,386,684
70,pimg,1055,1282,247,616
71,pimg,268,437,386,684
71,pimg,1055,1282,247,616
72,pimg,268,438,386,684
72,pimg,1055,1282,247,616
73,pimg,268,438,386,684
73,pimg,1055,1282,247,616
74,pimg,268,438,386,684
74,pimg,1056,1282,247,616
75,pimg,269,438,386,684
75,pimg,1056,1282,246,616
76,pimg,269,439,386,684
76,pimg,1056,1283,246,616
77,pimg,269,439,386,684
77,pimg,1056,1283,246,615
78,pimg,1056,1283,246,615
79,pimg,1056,1283,246,615
80,pimg,1056,1283,246,615
81,pimg,1056,1283,246,615
82,pimg,1056,1283,246,615
83,pimg,1057,1283,246,615
84,pimg,1057,1283,245,615
85,pimg,1057,1284,245,615
86,pimg,1057,1284,245,614
87,pimg,1057,1284,245,614
88,pimg,1057,1284,245,614
89,pimg,1057,1284,245,614
90,pimg,1057,1284,245,614
91,pimg,1057,1284,245,614
92,pimg,1058,1284,245,614
93,pimg,1058,1284,244,614
94,pimg,279,449,387,684
94,pimg,1058,1285,244,614
95,pimg,280,450,387,684
95,pimg,1058,1285,244,613
96,pimg,281,451,387,684
96,pimg,1058,1285,244,613
97,pimg,282,452,387,684
97,pimg,1058,1285,244,613
98,pimg,283,453,387,684
98,pimg,1058,1285,244,613
99,pimg,284,453,387,684
