frame nummer,x1=,y1=,x2=,y2=,time=
132,173,336,910,1023,12.872722148895264
133,153,333,902,1023,12.950543880462646
134,136,332,895,1024,13.027227401733398
135,124,332,893,1023,13.103744506835938
136,119,333,892,1023,13.182147026062012
137,115,332,890,1023,13.259387016296388
138,113,330,887,1025,13.336227178573608
139,116,329,887,1023,13.414241075515749
141,0,405,155,650,13.568073987960815
142,0,406,157,652,13.64554738998413
143,0,408,163,654,13.724064111709597
144,0,410,162,655,13.801085233688354
145,0,408,163,654,13.877736568450928
146,7,408,168,653,13.954061508178713
147,13,409,173,653,14.031052112579346
148,13,409,176,654,14.10908579826355
149,23,412,181,653,14.18606948852539
150,28,414,187,656,14.26378321647644
151,32,414,190,656,14.339810371398926
152,38,415,195,656,14.417064666748049
153,38,417,199,656,14.494086503982544
154,44,416,202,655,14.571875810623167
155,42,414,206,654,14.648765325546265
156,48,414,208,653,14.72523808479309
157,53,413,211,654,14.803055763244627
158,59,416,213,655,14.878419637680054
159,61,416,216,655,14.956916570663452
160,63,416,217,653,15.03345012664795
161,61,414,216,654,15.11098313331604
162,60,414,217,653,15.187756538391112
163,61,414,217,653,15.265172481536863
164,59,414,217,653,15.342060327529907
165,64,413,217,651,15.420068979263306
166,65,413,218,653,15.496759414672852
167,67,413,218,651,15.574081897735596
168,67,414,218,652,15.650421857833862
169,68,414,220,652,15.727240562438965
170,70,415,220,653,15.80426812171936
171,70,415,220,653,15.881077766418455
172,70,414,220,651,15.958945751190186
173,70,413,221,652,16.036596536636353
174,69,414,221,654,16.112423181533813
175,68,412,220,650,16.190297842025757
176,65,410,217,648,16.274770736694336
177,63,409,218,648,16.359450817108154
178,65,407,217,647,16.4374737739563
179,64,405,217,646,16.513585805892944
180,60,404,215,645,16.591116905212402
181,59,405,213,646,16.668277740478516
182,61,404,215,645,16.74557065963745
183,61,404,215,644,16.822596311569214
184,61,403,215,641,16.898895502090454
185,61,400,215,641,16.97628116607666
186,61,399,215,638,17.053592205047607
187,60,397,215,637,17.12985634803772
188,1055,131,1642,1024,17.207377910614014
188,60,396,214,637,17.207879304885864
189,58,397,215,637,17.28439688682556
190,61,395,216,637,17.361090183258057
191,61,394,216,635,17.43746304512024
192,61,391,216,633,17.515494108200073
193,61,391,217,634,17.593013763427734
194,64,391,218,633,17.66960906982422
195,61,390,217,633,17.746302604675293
196,63,388,216,632,17.824121952056885
197,63,387,217,631,17.901623249053955
198,64,388,218,631,17.978599786758423
199,65,387,219,629,18.056620359420776
200,66,386,219,627,18.13363885879517
201,67,386,221,627,18.21080231666565
202,71,387,224,626,18.287630319595337
203,73,386,227,625,18.36565589904785
204,73,384,226,624,18.44281220436096
205,76,385,229,625,18.519779443740845
206,77,384,229,624,18.59680461883545
207,76,382,229,622,18.673810958862305
208,74,381,228,620,18.750996828079224
209,75,378,228,618,18.82776927947998
210,74,376,227,617,18.90579056739807
211,73,374,226,615,18.98282551765442
211,643,262,1341,1022,18.98282551765442
212,660,259,1357,1022,19.06034255027771
212,73,370,226,612,19.06034255027771
213,678,256,1367,1021,19.13781499862671
213,73,370,226,612,19.13781499862671
214,73,370,227,611,19.214847087860107
215,697,255,1383,1022,19.29192543029785
215,73,367,226,609,19.29192543029785
216,72,366,226,608,19.368829488754272
217,74,366,227,608,19.445847988128666
218,74,365,227,608,19.522639513015747
219,717,256,1401,1022,19.6003098487854
219,75,363,227,606,19.6003098487854
220,723,256,1403,1022,19.677302360534668
220,75,362,228,605,19.677302360534668
221,728,255,1403,1022,19.75332403182984
221,76,362,228,605,19.75332403182984
222,730,255,1404,1022,19.8316171169281
222,76,361,228,604,19.8316171169281
223,732,254,1405,1022,19.90682601928711
223,75,358,228,603,19.90682601928711
224,733,253,1404,1022,19.984638929367065
224,75,357,228,603,19.984638929367065
225,735,253,1404,1022,20.061159133911133
225,76,358,228,603,20.061159133911133
226,736,252,1404,1022,20.140831470489506
226,76,358,228,603,20.140831470489506
227,737,249,1403,1022,20.2157199382782
227,75,357,228,601,20.2157199382782
228,737,250,1404,1022,20.29323983192444
228,75,355,228,600,20.29323983192444
229,737,250,1406,1022,20.37115454673767
229,76,355,228,600,20.37115454673767
230,737,253,1406,1022,20.447836875915527
230,76,354,228,599,20.447836875915527
231,737,252,1406,1022,20.52480173110962
231,76,354,228,599,20.52480173110962
232,736,254,1406,1022,20.60231328010559
232,77,353,228,599,20.60231328010559
233,735,252,1406,1022,20.679007053375244
233,78,354,229,599,20.679007053375244
234,735,253,1406,1022,20.756029844284058
234,78,353,230,598,20.756029844284058
235,733,253,1407,1022,20.83356118202209
235,78,352,231,597,20.83356118202209
236,732,253,1406,1022,20.911041736602783
236,78,353,231,597,20.911041736602783
237,732,253,1407,1022,20.98838448524475
237,82,354,232,598,20.98838448524475
238,732,252,1407,1022,21.06596684455872
238,81,353,233,597,21.06596684455872
239,733,249,1408,1022,21.143653869628903
240,733,249,1409,1022,21.221182346344
240,85,353,234,596,21.221182346344
241,733,252,1409,1022,21.29785203933716
242,733,247,1408,1022,21.38237500190735
243,733,246,1407,1022,21.467348098754883
244,735,249,1407,1022,21.54436206817627
245,735,250,1407,1022,21.621302843093872
246,733,248,1408,1022,21.701830625534058
246,88,352,236,594,21.701830625534058
247,735,248,1409,1022,21.77663779258728
247,86,349,236,592,21.77663779258728
248,736,249,1411,1022,21.85416507720948
248,872,118,946,468,21.85416507720948
249,88,348,236,592,21.93164658546448
251,91,351,239,594,22.08566880226136
