frame nummer,x1=,y1=,x2=,y2=,time=
38,773,192,944,582,5.633211374282837
39,774,191,944,582,5.710514307022095
63,748,191,938,583,7.624740362167358
84,92,329,914,1014,9.246896266937256
133,155,332,899,1014,13.02807641029358
134,139,329,895,1014,13.10561203956604
135,128,329,893,1014,13.182583332061768
136,122,330,891,1014,13.260610103607178
137,118,330,888,1015,13.338404417037964
138,118,327,885,1014,13.41507339477539
141,0,407,154,650,13.646631240844728
142,1,408,155,651,13.723617553710938
143,1,410,158,652,13.800886154174805
144,1,412,161,654,13.876814603805542
145,2,411,163,652,13.954003095626833
146,10,411,167,652,14.032535076141356
147,16,412,171,653,14.108815670013428
148,22,411,176,652,14.18535017967224
149,27,414,180,653,14.262989044189451
150,34,416,186,654,14.33975863456726
151,38,417,190,655,14.41581964492798
152,42,417,193,655,14.493345022201538
153,43,420,198,657,14.57011342048645
154,50,420,200,655,14.64863920211792
155,53,417,203,652,14.726497888565063
156,56,416,207,652,14.802929878234863
157,60,417,210,653,14.880012512207031
158,65,420,212,653,14.957284450531006
159,67,420,214,654,15.03559160232544
160,67,418,215,653,15.111148595809937
161,66,416,215,653,15.189015865325928
162,67,416,216,652,15.267537832260132
163,68,417,216,652,15.343333005905151
164,67,417,216,652,15.419846534729004
165,68,415,216,651,15.49788737297058
166,69,415,217,651,15.574714422225952
167,70,415,217,651,15.651593446731567
168,69,416,217,652,15.729912042617798
169,72,416,218,652,15.807348489761353
170,73,417,218,652,15.88301420211792
171,73,417,219,652,15.960837841033936
172,73,416,219,651,16.037917613983154
173,73,415,219,650,16.117051601409912
174,73,416,218,651,16.193201303482056
175,72,415,218,648,16.270720958709717
176,68,412,215,646,16.34674906730652
177,66,412,216,647,16.424448490142822
178,67,412,216,646,16.501670360565186
179,66,409,215,644,16.58003044128418
180,63,407,213,645,16.65665888786316
181,63,408,212,646,16.73471212387085
182,64,408,213,644,16.81086564064026
183,64,406,214,642,16.88853621482849
184,64,403,214,641,16.966566801071167
185,65,401,214,641,17.043941259384155
186,66,400,214,639,17.122455835342407
187,65,399,214,638,17.198944568634033
188,65,397,213,638,17.27475905418396
