frame nummer,x1=,y1=,x2=,y2=,time=
1,853,124,1764,1067,2.7004706859588623
1,110,319,894,1069,2.7004706859588623
1,0,386,147,682,2.7009708881378174
1,269,388,440,685,2.7009708881378174
1,1419,259,1667,616,2.7009708881378174
1,747,186,1008,616,2.7009708881378174
2,852,125,1763,1067,2.806990623474121
2,108,321,894,1069,2.806990623474121
2,268,390,438,686,2.806990623474121
2,0,388,147,683,2.806990623474121
2,1418,261,1674,617,2.806990623474121
2,745,188,1002,616,2.806990623474121
3,851,123,1762,1067,2.8864738941192627
3,106,319,893,1069,2.8864738941192627
3,0,386,144,682,2.8864738941192627
3,267,388,436,686,2.8864738941192627
3,1416,258,1674,617,2.8864738941192627
3,745,186,1002,616,2.8864738941192627
4,851,123,1762,1067,2.9619898796081543
4,105,318,892,1069,2.9619898796081543
4,0,386,143,683,2.9619898796081543
4,265,389,435,685,2.9619898796081543
4,1417,259,1679,617,2.9619898796081543
4,755,186,1004,616,2.9619898796081543
5,850,126,1761,1067,3.0349795818328857
5,104,321,890,1069,3.0349795818328857
5,0,387,142,683,3.0349795818328857
5,265,390,434,686,3.0349795818328857
5,1416,261,1682,618,3.0349795818328857
5,752,187,1003,617,3.0349795818328857
6,850,128,1760,1067,3.113086700439453
6,104,321,890,1069,3.113086700439453
6,0,387,142,683,3.113086700439453
6,265,390,434,686,3.113086700439453
6,1415,261,1662,618,3.113086700439453
6,744,188,999,617,3.113086700439453
7,849,128,1760,1067,3.190107583999634
7,103,321,890,1069,3.190107583999634
7,265,390,434,686,3.190107583999634
7,0,387,142,683,3.190107583999634
7,1415,261,1652,618,3.190107583999634
7,749,188,974,617,3.190107583999634
8,850,128,1760,1067,3.2674906253814697
8,103,321,890,1069,3.2674906253814697
8,0,386,143,683,3.2674906253814697
8,266,390,434,685,3.2674906253814697
8,750,188,980,617,3.2674906253814697
8,1415,261,1661,617,3.2674906253814697
9,849,129,1760,1068,3.3450706005096436
9,102,321,890,1069,3.3450706005096436
9,0,387,143,684,3.3450706005096436
9,265,391,434,686,3.3450706005096436
9,1415,261,1673,619,3.3450706005096436
9,750,188,988,618,3.3450706005096436
10,849,129,1760,1067,3.422410011291504
10,101,321,890,1069,3.422410011291504
10,265,391,434,686,3.422410011291504
10,0,388,143,684,3.422410011291504
10,1415,262,1671,619,3.422410011291504
10,752,188,991,619,3.422410011291504
11,849,127,1759,1067,3.5004889965057373
11,100,321,889,1069,3.5004889965057373
11,0,387,142,684,3.5004889965057373
11,264,390,432,686,3.5004889965057373
11,1415,261,1674,618,3.5004889965057373
11,751,188,989,617,3.5004889965057373
12,849,127,1759,1067,3.5779452323913574
12,98,321,889,1069,3.5779452323913574
12,0,387,141,683,3.5779452323913574
12,264,390,431,686,3.5779452323913574
12,1415,261,1675,618,3.5779452323913574
12,749,187,984,618,3.5779452323913574
13,849,127,1759,1067,3.6547374725341797
13,98,320,889,1069,3.6547374725341797
13,263,391,432,686,3.6547374725341797
13,0,387,141,684,3.6547374725341797
13,1415,262,1678,618,3.6547374725341797
13,750,188,995,617,3.6547374725341797
14,849,126,1760,1067,3.731253147125244
14,98,318,889,1069,3.731253147125244
14,0,387,141,684,3.731253147125244
14,264,390,431,686,3.731253147125244
14,1415,261,1664,617,3.731253147125244
14,749,187,992,616,3.731253147125244
15,849,125,1759,1067,3.8092761039733887
