frame nummer,x1=,y1=,x2=,y2=,time=
1,854,126,1763,1069,2.5544726848602295
1,111,323,896,1069,2.5544726848602295
1,0,385,146,683,2.5544726848602295
1,269,388,438,682,2.5544726848602295
1,1425,257,1672,617,2.5544726848602295
1,746,185,996,616,2.5544726848602295
2,854,127,1762,1069,2.6539037227630615
2,111,326,895,1069,2.6539037227630615
2,0,387,145,684,2.6539037227630615
2,269,390,437,683,2.6539037227630615
2,1423,259,1673,618,2.6539037227630615
2,753,188,996,618,2.6539037227630615
3,852,126,1762,1069,2.728931427001953
3,109,323,894,1069,2.728931427001953
3,0,385,144,683,2.728931427001953
3,268,389,436,682,2.728931427001953
3,1423,257,1667,616,2.728931427001953
3,751,186,979,616,2.728931427001953
4,852,125,1762,1069,2.806373357772827
4,107,322,891,1069,2.806373357772827
4,0,385,143,683,2.806373357772827
4,266,390,434,681,2.806373357772827
4,1424,257,1674,617,2.806373357772827
4,754,185,992,616,2.806373357772827
5,850,127,1760,1069,2.881889820098877
5,106,326,890,1069,2.881889820098877
5,265,391,434,683,2.881889820098877
5,0,386,143,684,2.881889820098877
5,1423,259,1675,618,2.881889820098877
5,753,187,993,617,2.881889820098877
6,849,129,1759,1069,2.9584286212921143
6,106,326,891,1069,2.9584286212921143
6,266,391,433,683,2.9584286212921143
6,0,386,143,684,2.9584286212921143
6,748,187,990,618,2.9584286212921143
6,1423,260,1658,619,2.9584286212921143
7,849,129,1759,1069,3.0360476970672607
7,106,326,891,1069,3.0360476970672607
7,267,390,433,684,3.0360476970672607
7,0,386,142,684,3.0360476970672607
7,752,187,983,618,3.0360476970672607
7,1422,260,1657,619,3.0360476970672607
8,849,129,1759,1069,3.0970571041107178
8,106,325,891,1069,3.0970571041107178
8,267,390,433,684,3.0970571041107178
8,0,386,143,684,3.0970571041107178
8,751,187,980,618,3.0970571041107178
8,1423,260,1658,618,3.0970571041107178
9,849,130,1759,1070,3.1590158939361572
9,105,326,890,1069,3.1590158939361572
9,0,386,143,685,3.1590158939361572
9,267,390,434,684,3.1590158939361572
9,750,188,989,618,3.1590158939361572
9,1423,260,1665,620,3.1590158939361572
10,850,130,1759,1069,3.2210323810577393
10,103,326,890,1069,3.2210323810577393
10,266,390,434,685,3.2210323810577393
10,0,387,143,686,3.2210323810577393
10,752,188,987,619,3.2210323810577393
10,1424,260,1663,620,3.2210323810577393
11,849,129,1758,1069,3.2825398445129395
11,102,326,890,1069,3.2825398445129395
11,0,386,142,685,3.2825398445129395
11,265,391,432,684,3.2825398445129395
11,751,187,980,618,3.2825398445129395
11,1423,260,1664,618,3.2825398445129395
12,849,128,1759,1069,3.344271659851074
12,100,325,888,1069,3.344271659851074
12,0,386,141,685,3.344271659851074
12,265,391,432,684,3.344271659851074
12,750,187,980,618,3.344271659851074
12,1423,260,1662,618,3.344271659851074
13,849,128,1759,1069,3.4067933559417725
13,100,325,889,1069,3.4067933559417725
13,0,386,141,685,3.4067933559417725
13,265,391,433,684,3.4067933559417725
13,751,187,985,618,3.4067933559417725
13,1423,260,1666,618,3.4067933559417725
14,850,127,1758,1069,3.468919038772583
14,100,322,889,1069,3.468919038772583
14,264,390,432,684,3.468919038772583
14,0,386,142,685,3.468919038772583
14,751,186,987,618,3.468919038772583
14,1423,259,1666,617,3.468919038772583
15,849,126,1759,1069,3.5309364795684814
15,99,321,889,1069,3.5309364795684814
15,264,389,431,683,3.5309364795684814
15,0,386,142,684,3.5309364795684814
15,751,186,985,617,3.5309364795684814
15,1423,258,1668,617,3.5309364795684814
16,849,124,1758,1070,3.592949390411377
16,97,319,888,1069,3.592949390411377
16,263,388,431,682,3.592949390411377
16,0,384,140,683,3.592949390411377
16,1424,257,1686,616,3.592949390411377
16,750,185,970,616,3.592949390411377
17,850,125,1759,1070,3.6541309356689453
17,98,321,888,1069,3.6541309356689453
17,262,390,431,683,3.6541309356689453
17,0,386,139,683,3.6541309356689453
17,1423,258,1674,617,3.6541309356689453
17,751,185,986,618,3.6541309356689453
18,850,125,1758,1069,3.7166521549224854
18,98,321,889,1069,3.7166521549224854
