frame nummer,x1=,y1=,x2=,y2=,time=
1,108,318,903,1076,2.6203672885894775
1,852,127,1761,1077,2.6203672885894775
1,748,182,995,616,2.6203672885894775
1,1420,255,1654,616,2.6203672885894775
1,272,386,439,684,2.6203672885894775
1,0,385,148,682,2.6203672885894775
2,106,321,903,1076,2.745391368865967
2,851,128,1760,1077,2.745391368865967
2,748,184,990,617,2.745391368865967
2,1418,258,1658,616,2.745391368865967
2,270,387,438,684,2.745391368865967
2,0,386,148,683,2.745391368865967
3,104,318,902,1076,2.8267927169799805
3,850,127,1760,1077,2.8267927169799805
3,1417,255,1651,616,2.8267927169799805
3,744,183,980,616,2.8267927169799805
3,269,386,436,683,2.8267927169799805
3,0,385,146,682,2.8267927169799805
4,102,318,901,1076,2.90380597114563
4,850,126,1759,1077,2.90380597114563
4,751,183,986,616,2.90380597114563
4,1417,255,1649,616,2.90380597114563
4,268,386,435,684,2.90380597114563
4,0,385,144,682,2.90380597114563
5,101,321,901,1076,2.9788193702697754
5,849,128,1759,1077,2.9788193702697754
5,749,185,991,618,2.9788193702697754
5,1416,258,1667,617,2.9788193702697754
5,266,387,435,683,2.9788193702697754
5,0,385,144,683,2.9788193702697754
6,101,321,900,1076,3.056332588195801
6,849,130,1757,1077,3.056332588195801
6,747,184,981,618,3.056332588195801
6,1416,259,1638,617,3.056332588195801
6,266,387,435,684,3.056332588195801
6,0,384,144,683,3.056332588195801
7,101,320,900,1076,3.133358955383301
7,848,130,1756,1077,3.133358955383301
7,750,185,969,617,3.133358955383301
7,1416,258,1643,617,3.133358955383301
7,266,387,435,684,3.133358955383301
7,0,385,144,683,3.133358955383301
8,101,320,900,1076,3.2118289470672607
8,849,130,1756,1077,3.2118289470672607
8,750,185,972,618,3.2118289470672607
8,1416,258,1641,617,3.2118289470672607
8,267,387,435,685,3.2118289470672607
8,0,384,144,683,3.2118289470672607
9,100,321,899,1076,3.288684368133545
9,848,131,1757,1077,3.288684368133545
9,749,186,970,617,3.288684368133545
9,1415,259,1664,618,3.288684368133545
9,266,387,435,687,3.288684368133545
9,0,386,144,684,3.288684368133545
10,99,321,899,1076,3.36570405960083
10,848,130,1757,1077,3.36570405960083
10,1415,259,1653,618,3.36570405960083
10,750,186,965,618,3.36570405960083
10,265,388,434,689,3.36570405960083
10,0,387,144,685,3.36570405960083
11,98,321,898,1076,3.441897392272949
11,848,130,1757,1077,3.441897392272949
11,748,185,970,617,3.441897392272949
11,1415,258,1644,617,3.441897392272949
11,264,387,434,686,3.441897392272949
11,0,386,144,684,3.4423978328704834
