frame nummer,x1=,y1=,x2=,y2=,time=
1,853,124,1764,1067,2.664508104324341
1,110,319,894,1069,2.664508104324341
1,0,386,147,682,2.6650092601776123
1,269,388,440,685,2.6650092601776123
1,1419,259,1667,616,2.6650092601776123
1,747,186,1008,616,2.6650092601776123
2,852,125,1763,1067,2.7829811573028564
2,108,321,894,1069,2.7829811573028564
2,268,390,438,686,2.7829811573028564
2,0,388,147,683,2.7829811573028564
2,1418,261,1674,617,2.7829811573028564
2,745,188,1002,616,2.7829811573028564
3,851,123,1762,1067,2.8569839000701904
3,106,319,893,1069,2.8569839000701904
3,0,386,144,682,2.8569839000701904
3,267,388,436,686,2.8569839000701904
3,1416,258,1674,617,2.8569839000701904
3,745,186,1002,616,2.8569839000701904
4,851,123,1762,1067,2.9345054626464844
4,105,318,892,1069,2.9345054626464844
4,0,386,143,683,2.9345054626464844
4,265,389,435,685,2.9345054626464844
4,1417,259,1679,617,2.9345054626464844
4,755,186,1004,616,2.9345054626464844
5,850,126,1761,1067,3.010990858078003
5,104,321,890,1069,3.010990858078003
5,0,387,142,683,3.010990858078003
5,265,390,434,686,3.010990858078003
5,1416,261,1682,618,3.010990858078003
5,752,187,1003,617,3.010990858078003
6,850,128,1760,1067,3.084991216659546
6,104,321,890,1069,3.084991216659546
6,0,387,142,683,3.084991216659546
6,265,390,434,686,3.084991216659546
6,1415,261,1662,618,3.084991216659546
6,744,188,999,617,3.084991216659546
7,849,128,1760,1067,3.1640172004699707
7,103,321,890,1069,3.164517879486084
7,265,390,434,686,3.164517879486084
7,0,387,142,683,3.164517879486084
7,1415,261,1652,618,3.164517879486084
7,749,188,974,617,3.164517879486084
8,850,128,1760,1067,3.240147829055786
8,103,321,890,1069,3.240147829055786
8,0,386,143,683,3.240147829055786
8,266,390,434,685,3.240147829055786
8,750,188,980,617,3.240147829055786
8,1415,261,1661,617,3.240147829055786
9,849,129,1760,1068,3.317584753036499
9,102,321,890,1069,3.317584753036499
9,0,387,143,684,3.317584753036499
9,265,391,434,686,3.317584753036499
9,1415,261,1673,619,3.317584753036499
9,750,188,988,618,3.317584753036499
10,849,129,1760,1067,3.395321846008301
10,101,321,890,1069,3.395321846008301
10,265,391,434,686,3.395321846008301
10,0,388,143,684,3.395321846008301
10,1415,262,1671,619,3.395321846008301
10,752,188,991,619,3.395321846008301
11,849,127,1759,1067,3.4719796180725098
11,100,321,889,1069,3.4719796180725098
11,0,387,142,684,3.4719796180725098
11,264,390,432,686,3.4719796180725098
11,1415,261,1674,618,3.4719796180725098
11,751,188,989,617,3.4719796180725098
12,849,127,1759,1067,3.548170804977417
12,98,321,889,1069,3.548170804977417
12,0,387,141,683,3.548170804977417
12,264,390,431,686,3.548170804977417
12,1415,261,1675,618,3.548170804977417
12,749,187,984,618,3.548170804977417
13,849,127,1759,1067,3.626495599746704
13,98,320,889,1069,3.626495599746704
13,263,391,432,686,3.626495599746704
13,0,387,141,684,3.626495599746704
13,1415,262,1678,618,3.626495599746704
13,750,188,995,617,3.626495599746704
14,849,126,1760,1067,3.7033040523529053
14,98,318,889,1069,3.703803777694702
14,0,387,141,684,3.703803777694702
14,264,390,431,686,3.703803777694702
14,1415,261,1664,617,3.703803777694702
14,749,187,992,616,3.703803777694702
15,849,125,1759,1067,3.7798211574554443
15,97,318,890,1069,3.7798211574554443
15,0,386,141,682,3.7798211574554443
15,263,389,431,685,3.7798211574554443
15,1415,259,1667,617,3.7798211574554443
15,750,186,992,617,3.7798211574554443
16,849,123,1759,1067,3.8583426475524902
16,96,315,888,1069,3.8583426475524902
16,262,388,430,685,3.8588433265686035
16,0,385,140,682,3.8588433265686035
16,1415,258,1685,617,3.8588433265686035
16,749,185,977,616,3.8588433265686035
17,850,124,1759,1067,3.9348220825195312
17,96,317,888,1069,3.9348220825195312
17,0,386,140,683,3.9348220825195312
17,262,389,431,684,3.9348220825195312
17,1415,260,1681,617,3.9348220825195312
17,750,186,995,616,3.9348220825195312
18,850,124,1759,1067,4.0122294425964355
18,97,317,889,1069,4.0122294425964355
18,261,389,431,684,4.0122294425964355
18,0,386,140,683,4.012728929519653
18,1415,260,1671,616,4.012728929519653
18,750,186,999,618,4.012728929519653
19,850,123,1758,1067,4.088001728057861
19,96,317,889,1069,4.088501691818237
19,0,386,140,682,4.088501691818237
19,261,389,431,684,4.088501691818237
19,1415,259,1682,617,4.088501691818237
19,750,186,1000,617,4.088501691818237
20,851,124,1757,1067,4.166032314300537
20,96,318,889,1069,4.166032314300537
20,261,390,431,684,4.166032314300537
20,0,386,140,683,4.166032314300537
20,1415,261,1678,617,4.166032314300537
20,750,186,997,617,4.166032314300537
21,851,125,1757,1067,4.243155479431152
21,96,318,889,1069,4.243155479431152
21,260,389,431,684,4.243155479431152
21,0,386,139,683,4.243155479431152
21,1415,260,1680,617,4.243155479431152
21,750,186,996,617,4.243155479431152
22,851,124,1756,1067,4.319176435470581
22,96,316,889,1069,4.319176435470581
22,260,389,430,683,4.319176435470581
22,0,385,139,682,4.319176435470581
22,1414,260,1677,617,4.319176435470581
22,749,186,998,617,4.319176435470581
23,851,125,1754,1068,4.398703098297119
23,96,317,888,1069,4.399202346801758
23,259,389,430,683,4.399202346801758
23,0,386,139,682,4.399202346801758
23,1414,260,1662,616,4.399202346801758
23,748,186,989,616,4.399202346801758
24,850,125,1753,1068,4.474493503570557
24,96,318,888,1069,4.474493503570557
24,259,389,429,684,4.474493503570557
24,0,386,138,683,4.474493503570557
24,1414,261,1646,617,4.474493503570557
24,747,186,991,617,4.474493503570557
25,850,125,1751,1068,4.5514914989471436
25,95,318,887,1069,4.5514914989471436
25,258,389,429,684,4.5514914989471436
25,0,386,138,683,4.5514914989471436
25,1413,261,1639,617,4.5514914989471436
25,745,186,990,616,4.5514914989471436
26,849,126,1750,1068,4.6293182373046875
26,95,318,887,1069,4.6293182373046875
26,257,389,429,684,4.6293182373046875
26,0,386,137,683,4.6293182373046875
26,1412,261,1660,617,4.6293182373046875
26,744,186,995,617,4.6293182373046875
27,849,125,1749,1068,4.705999374389648
27,95,317,887,1070,4.705999374389648
27,257,388,428,683,4.705999374389648
27,0,385,137,682,4.705999374389648
27,1412,259,1645,617,4.705999374389648
27,741,185,987,616,4.705999374389648
28,848,126,1747,1068,4.782866716384888
28,95,318,887,1070,4.782866716384888
28,257,389,428,684,4.782866716384888
28,0,386,136,683,4.782866716384888
28,1411,259,1648,617,4.782866716384888
28,742,186,989,618,4.782866716384888
29,848,127,1746,1068,4.861182451248169
29,94,318,886,1070,4.861182451248169
29,257,389,428,684,4.861182451248169
29,0,386,136,683,4.861182451248169
29,1411,259,1660,617,4.861182451248169
29,741,186,988,618,4.861182451248169
30,848,126,1744,1068,4.938197612762451
30,93,317,886,1069,4.938197612762451
30,257,389,425,685,4.938197612762451
30,0,386,135,683,4.938197612762451
30,1411,259,1666,617,4.938197612762451
30,742,186,991,617,4.938197612762451
31,848,124,1743,1068,5.014721393585205
31,92,315,885,1070,5.014721393585205
31,0,385,135,682,5.01522159576416
31,257,388,425,684,5.01522159576416
31,1411,258,1668,616,5.01522159576416
31,742,185,983,616,5.01522159576416
32,847,123,1743,1068,5.092684984207153
32,89,315,884,1069,5.092684984207153
32,0,383,135,681,5.092684984207153
32,256,387,425,682,5.092684984207153
32,1412,257,1667,615,5.092684984207153
32,742,183,990,615,5.092684984207153
33,847,123,1741,1068,5.169166803359985
33,84,314,883,1069,5.169166803359985
33,0,384,135,682,5.169166803359985
33,256,387,425,683,5.169166803359985
33,1411,257,1663,615,5.169166803359985
33,742,183,990,615,5.169166803359985
34,848,123,1740,1068,5.246794939041138
34,81,314,882,1069,5.246794939041138
34,0,384,135,682,5.246794939041138
34,255,387,425,683,5.246794939041138
34,1411,256,1662,615,5.246794939041138
34,740,184,984,615,5.246794939041138
35,850,121,1739,1068,5.323512554168701
35,81,312,882,1069,5.323512554168701
35,0,383,135,680,5.323512554168701
35,255,386,425,681,5.323512554168701
35,1412,255,1659,613,5.323512554168701
35,741,181,992,613,5.323512554168701
36,851,120,1738,1068,5.401538610458374
36,81,312,883,1069,5.401538610458374
36,0,383,135,680,5.401538610458374
36,255,386,426,681,5.401538610458374
36,1413,255,1657,613,5.401538610458374
36,740,182,991,613,5.401538610458374
37,852,121,1738,1068,5.477503538131714
37,81,315,883,1069,5.477503538131714
37,0,384,135,682,5.477503538131714
37,257,387,431,682,5.477503538131714
37,1415,256,1660,614,5.477503538131714
37,741,183,991,614,5.477503538131714
38,853,122,1737,1068,5.555697679519653
38,81,316,884,1070,5.555697679519653
38,0,384,135,682,5.555697679519653
38,257,387,435,682,5.555697679519653
38,1416,256,1651,614,5.555697679519653
38,738,184,988,614,5.555697679519653
39,855,120,1736,1068,5.632712125778198
39,82,315,887,1070,5.633211374282837
39,0,384,135,681,5.633211374282837
39,257,386,438,682,5.633211374282837
39,1419,255,1645,612,5.633211374282837
39,737,183,994,613,5.633211374282837
40,855,120,1736,1068,5.710014343261719
40,82,315,887,1070,5.710014343261719
40,0,384,135,681,5.710014343261719
40,257,386,438,682,5.710014343261719
40,1419,255,1646,612,5.710014343261719
40,738,182,994,613,5.710514307022095
41,92,317,888,1069,5.798381090164185
41,858,119,1732,1068,5.798381090164185
41,0,385,134,682,5.798381090164185
41,257,388,452,683,5.798381090164185
41,1423,255,1628,613,5.798381090164185
41,724,183,993,614,5.798381090164185
42,93,315,886,1069,5.891397953033447
42,860,119,1728,1069,5.891397953033447
42,0,385,133,682,5.891397953033447
42,256,387,454,683,5.891397953033447
42,1424,255,1651,613,5.891397953033447
42,735,183,989,614,5.891397953033447
43,92,315,887,1069,5.972512483596802
43,862,118,1724,1068,5.972512483596802
43,0,385,133,682,5.972512483596802
43,255,387,457,683,5.972512483596802
43,1427,255,1645,612,5.972512483596802
43,740,183,991,614,5.972512483596802
43,1054,249,1207,613,5.972512483596802
44,91,315,887,1069,6.050506591796875
44,865,119,1719,1067,6.050506591796875
44,0,385,133,683,6.050506591796875
44,255,388,464,684,6.050506591796875
44,1427,255,1636,612,6.050506591796875
44,742,183,991,614,6.050506591796875
44,1053,249,1206,615,6.050506591796875
45,92,313,885,1069,6.127554178237915
45,867,118,1714,1068,6.127554178237915
45,0,384,132,682,6.127554178237915
45,255,386,465,683,6.127554178237915
45,1428,255,1653,612,6.127554178237915
45,745,182,993,614,6.127554178237915
45,1053,249,1206,613,6.127554178237915
46,94,311,882,1069,6.203349351882935
46,870,117,1708,1068,6.2038493156433105
46,0,384,132,682,6.2038493156433105
46,255,386,463,682,6.2038493156433105
46,1428,255,1667,611,6.2038493156433105
46,742,182,993,613,6.2038493156433105
46,1053,249,1205,612,6.2038493156433105
47,868,116,1699,1068,6.280376195907593
47,96,311,879,1069,6.280376195907593
47,0,386,132,683,6.280376195907593
47,1427,256,1670,613,6.280376195907593
47,254,388,459,683,6.280376195907593
47,1053,250,1202,613,6.280376195907593
47,739,183,991,615,6.280376195907593
48,863,113,1690,1067,6.381006717681885
48,99,309,872,1069,6.381006717681885
48,0,385,132,682,6.381006717681885
48,1425,256,1661,613,6.381006717681885
48,253,387,451,683,6.381006717681885
48,1052,249,1199,612,6.381006717681885
48,740,183,992,614,6.381006717681885
49,866,111,1678,1067,6.451340913772583
49,97,307,869,1069,6.451340913772583
49,0,385,131,682,6.451340913772583
49,253,387,446,682,6.451340913772583
49,1422,255,1659,612,6.451340913772583
49,746,183,982,614,6.451340913772583
49,1052,249,1195,607,6.451340913772583
50,864,110,1665,1068,6.52985143661499
50,98,307,862,1068,6.52985143661499
50,0,386,131,683,6.52985143661499
50,253,388,442,683,6.52985143661499
50,1420,256,1647,613,6.52985143661499
50,742,183,984,614,6.52985143661499
50,1052,252,1190,606,6.52985143661499
51,863,111,1649,1068,6.606719732284546
51,98,306,860,1068,6.606719732284546
51,252,388,440,683,6.606719732284546
51,0,385,131,683,6.606719732284546
51,1420,256,1645,613,6.606719732284546
51,748,184,982,614,6.606719732284546
52,861,111,1631,1069,6.683345556259155
52,102,309,862,1068,6.683345556259155
52,251,388,434,683,6.683345556259155
52,0,386,130,683,6.683345556259155
52,1420,256,1639,613,6.683345556259155
52,744,184,974,614,6.683345556259155
53,857,105,1611,1068,6.771473169326782
53,114,310,862,1069,6.771973371505737
53,251,388,431,682,6.771973371505737
53,0,386,130,683,6.771973371505737
53,1418,255,1643,612,6.771973371505737
53,747,183,973,614,6.771973371505737
54,856,105,1587,1068,6.855394601821899
54,119,313,861,1069,6.855394601821899
54,0,386,130,683,6.855394601821899
54,251,387,427,684,6.855394601821899
54,1418,255,1655,613,6.855394601821899
54,748,183,974,615,6.855394601821899
55,129,312,860,1069,6.932219505310059
55,855,105,1563,1069,6.932219505310059
55,251,388,425,682,6.932219505310059
55,0,386,130,683,6.932219505310059
55,1420,255,1658,612,6.932219505310059
55,745,183,960,614,6.932219505310059
56,859,103,1540,1068,7.0074543952941895
56,141,313,858,1069,7.0074543952941895
56,252,388,423,682,7.007954835891724
56,0,385,130,683,7.007954835891724
56,1420,254,1652,611,7.007954835891724
56,751,182,966,615,7.007954835891724
57,862,105,1519,1067,7.084638357162476
57,142,314,857,1068,7.084638357162476
57,252,389,415,683,7.084638357162476
57,0,386,130,683,7.084638357162476
57,1420,255,1655,611,7.084638357162476
57,747,183,959,615,7.084638357162476
58,866,105,1497,1067,7.162651062011719
58,142,313,851,1069,7.162651062011719
58,251,388,409,683,7.162651062011719
58,0,386,130,683,7.162651062011719
58,1420,254,1656,611,7.162651062011719
58,742,183,992,616,7.162651062011719
59,863,105,1480,1067,7.24066948890686
59,143,313,845,1069,7.24066948890686
59,251,386,404,683,7.24066948890686
59,0,385,130,683,7.24066948890686
59,1419,253,1653,611,7.24066948890686
59,742,182,988,614,7.24066948890686
60,144,314,836,1068,7.316668510437012
60,861,106,1473,1067,7.316668510437012
60,251,388,395,684,7.316668510437012
60,0,387,130,684,7.316668510437012
60,1418,253,1649,611,7.316668510437012
60,748,183,981,615,7.316668510437012
61,142,315,825,1069,7.398106336593628
61,860,106,1469,1066,7.398106336593628
61,0,387,130,684,7.398106336593628
61,252,388,389,684,7.398106336593628
61,1413,253,1655,612,7.398106336593628
61,744,183,981,616,7.398106336593628
62,142,315,811,1068,7.47112512588501
62,859,106,1463,1066,7.47112512588501
62,0,387,130,684,7.47112512588501
62,1410,252,1650,612,7.47112512588501
62,741,183,992,615,7.47112512588501
62,251,389,383,684,7.47112512588501
63,136,315,797,1068,7.547415494918823
63,858,108,1459,1067,7.547415494918823
63,0,387,130,685,7.547415494918823
63,1407,252,1658,611,7.547415494918823
63,738,182,990,614,7.547415494918823
64,859,109,1453,1067,7.624740362167358
64,128,316,782,1068,7.624740362167358
64,0,388,130,684,7.624740362167358
64,1403,252,1654,611,7.624740362167358
64,713,182,988,614,7.624740362167358
65,862,113,1446,1067,7.702022314071655
65,118,320,758,1067,7.702022314071655
65,0,388,129,684,7.702022314071655
65,1398,251,1648,611,7.702022314071655
65,733,182,988,613,7.702022314071655
66,868,115,1441,1067,7.777540445327759
66,108,317,751,1068,7.778040647506714
66,0,387,129,684,7.778040647506714
66,1398,251,1646,611,7.778040647506714
66,729,180,980,612,7.778040647506714
67,878,115,1435,1067,7.854711532592773
67,94,317,765,1068,7.854711532592773
67,0,387,129,684,7.854711532592773
67,1396,250,1654,610,7.854711532592773
67,734,180,984,612,7.854711532592773
68,887,119,1432,1068,7.933032989501953
68,79,319,779,1068,7.933032989501953
68,0,387,129,684,7.933032989501953
68,1398,249,1653,610,7.933032989501953
68,739,180,980,612,7.933032989501953
69,896,124,1428,1067,8.009034156799316
69,60,320,799,1067,8.009533882141113
69,0,387,129,685,8.009533882141113
69,1396,250,1653,611,8.009533882141113
69,733,181,983,613,8.009533882141113
70,903,127,1423,1066,8.088048219680786
70,45,319,821,1067,8.088048219680786
70,0,387,130,684,8.088048219680786
70,1397,249,1655,610,8.088048219680786
70,740,180,983,612,8.088048219680786
71,913,130,1417,1066,8.165063619613647
71,38,317,837,1066,8.165063619613647
71,0,387,130,684,8.165063619613647
71,1397,249,1655,609,8.165063619613647
71,736,180,970,612,8.165063619613647
72,32,315,850,1066,8.2428617477417
72,923,134,1410,1066,8.243361949920654
72,0,387,130,684,8.243361949920654
72,1399,249,1656,609,8.243361949920654
72,744,180,965,611,8.243361949920654
73,29,315,862,1066,8.318892240524292
73,933,137,1402,1067,8.318892240524292
73,0,387,131,684,8.318892240524292
73,744,179,966,612,8.318892240524292
73,1402,250,1652,609,8.318892240524292
74,31,315,870,1066,8.397907972335815
74,935,142,1395,1067,8.397907972335815
74,0,387,132,684,8.397907972335815
74,741,179,959,612,8.397907972335815
74,1402,250,1660,609,8.397907972335815
75,37,314,878,1067,8.474918603897095
75,933,147,1392,1067,8.474918603897095
75,0,387,135,685,8.474918603897095
75,1402,250,1660,609,8.474918603897095
75,732,181,988,613,8.474918603897095
76,40,313,887,1067,8.55073857307434
76,928,151,1403,1067,8.55073857307434
76,0,386,137,683,8.55073857307434
76,1402,250,1649,607,8.55073857307434
76,727,181,983,611,8.55073857307434
77,46,315,899,1067,8.629252910614014
77,922,153,1418,1067,8.629252910614014
77,0,386,139,684,8.629252910614014
77,737,181,973,611,8.629252910614014
77,1403,250,1650,609,8.629252910614014
78,53,317,908,1067,8.705924272537231
78,915,156,1432,1067,8.705924272537231
78,0,387,139,684,8.705924272537231
78,737,181,963,612,8.706424713134766
78,1403,250,1627,609,8.706424713134766
78,258,387,392,687,8.706424713134766
79,64,318,919,1068,8.783440828323364
79,905,156,1446,1067,8.783440828323364
79,0,387,140,684,8.783440828323364
79,730,182,963,613,8.783440828323364
79,1403,250,1627,609,8.783440828323364
79,260,390,403,684,8.783440828323364
80,76,318,928,1067,8.86047625541687
80,896,157,1456,1067,8.86047625541687
80,261,389,415,685,8.86047625541687
80,0,388,141,685,8.86047625541687
80,751,183,966,613,8.86047625541687
80,1403,250,1643,609,8.86047625541687
81,81,316,941,1067,8.937565326690674
81,886,157,1466,1067,8.937565326690674
81,262,388,424,685,8.937565326690674
81,0,388,141,684,8.937565326690674
81,741,183,964,612,8.937565326690674
81,1403,250,1661,609,8.937565326690674
82,877,157,1482,1067,9.014786005020142
82,82,316,947,1068,9.014786005020142
82,262,389,431,685,9.014786005020142
82,0,388,141,684,9.014786005020142
82,1404,250,1658,609,9.014786005020142
82,746,183,975,612,9.014786005020142
83,84,314,956,1067,9.09226131439209
83,869,155,1500,1067,9.09226131439209
83,262,389,435,684,9.09226131439209
83,0,387,141,684,9.09226131439209
83,1405,250,1642,608,9.09226131439209
83,739,181,986,611,9.09226131439209
84,87,314,959,1068,9.168737888336182
84,862,155,1521,1067,9.168737888336182
84,262,389,437,684,9.168737888336182
84,0,387,141,684,9.168737888336182
84,732,181,988,610,9.168737888336182
84,1403,250,1651,608,9.169238328933716
85,88,314,963,1068,9.246896266937256
85,856,155,1540,1068,9.246896266937256
85,262,389,437,684,9.246896266937256
85,0,388,141,684,9.246896266937256
85,1404,249,1631,608,9.246896266937256
85,734,181,969,611,9.246896266937256
86,850,154,1555,1068,9.323746681213379
86,88,317,965,1068,9.323746681213379
86,262,390,437,684,9.323746681213379
86,0,388,141,684,9.323746681213379
86,1403,249,1638,609,9.323746681213379
86,732,182,970,612,9.323746681213379
87,846,152,1570,1067,9.402037620544434
87,88,317,967,1068,9.402037620544434
87,262,390,437,685,9.402037620544434
87,0,388,142,684,9.402537822723389
87,732,181,978,612,9.402537822723389
87,1403,249,1648,608,9.402537822723389
88,844,152,1582,1067,9.478054523468018
88,83,317,965,1068,9.478054523468018
88,263,389,435,684,9.478054523468018
88,0,388,142,684,9.478054523468018
88,1403,249,1631,607,9.478054523468018
88,734,182,983,612,9.478054523468018
89,837,153,1591,1068,9.554562330245972
89,81,319,960,1068,9.555062770843506
89,263,389,430,684,9.555062770843506
89,0,388,143,684,9.555062770843506
89,1404,249,1627,608,9.555062770843506
89,734,182,981,612,9.555062770843506
90,830,151,1598,1067,9.63325047492981
90,79,320,955,1068,9.63325047492981
90,263,389,419,684,9.63325047492981
90,0,388,143,684,9.63325047492981
90,1405,248,1635,607,9.63325047492981
90,749,182,990,611,9.63325047492981
91,827,153,1604,1067,9.709418773651123
91,72,323,946,1069,9.709418773651123
91,0,388,143,684,9.709418773651123
91,264,389,413,685,9.709418773651123
91,746,181,972,611,9.709418773651123
91,1405,249,1643,607,9.709418773651123
92,828,153,1608,1067,9.787432193756104
92,62,324,939,1069,9.787432193756104
92,0,388,145,684,9.787432193756104
92,752,181,970,611,9.787432193756104
92,265,389,405,685,9.787432193756104
92,1407,248,1644,606,9.787432193756104
93,826,153,1612,1067,9.864428043365479
93,54,325,931,1068,9.864428043365479
93,0,389,147,685,9.864428043365479
93,754,182,964,611,9.864428043365479
93,267,390,396,686,9.864428043365479
93,1409,249,1632,607,9.864428043365479
94,830,155,1614,1066,9.942119359970093
94,48,326,923,1067,9.942119359970093
94,0,390,149,685,9.942119359970093
94,750,184,967,612,9.942119359970093
94,1407,250,1658,607,9.942119359970093
94,269,391,383,684,9.942119359970093
95,836,157,1618,1067,10.017707824707031
95,45,328,916,1067,10.017707824707031
95,0,390,150,685,10.017707824707031
95,757,183,962,612,10.017707824707031
95,1410,249,1649,606,10.017707824707031
96,46,327,898,1067,10.096243619918823
96,847,154,1621,1067,10.096243619918823
96,0,390,150,686,10.096243619918823
96,757,184,967,612,10.096243619918823
96,1409,249,1655,607,10.096243619918823
97,856,154,1624,1068,10.173759698867798
97,53,327,886,1068,10.173759698867798
97,0,391,152,687,10.173759698867798
97,757,184,995,613,10.174259901046753
97,1409,250,1641,607,10.174259901046753
98,864,153,1627,1068,10.250384330749512
98,62,325,872,1067,10.250384330749512
98,0,391,152,686,10.250384330749512
98,758,184,990,612,10.250384330749512
98,1423,249,1659,606,10.250384330749512
99,78,323,862,1068,10.328269481658936
99,861,153,1629,1068,10.328269481658936
99,0,391,153,685,10.328269481658936
