frame nummer,x1=,y1=,x2=,y2=,time=
1,854,126,1763,1069,2.667969226837158
1,111,323,896,1069,2.667969226837158
1,0,385,146,683,2.667969226837158
1,269,388,438,682,2.667969226837158
1,1425,257,1672,617,2.667969226837158
1,746,185,996,616,2.667969226837158
2,854,127,1762,1069,2.7579848766326904
2,111,326,895,1069,2.7579848766326904
2,0,387,145,684,2.7579848766326904
2,269,390,437,683,2.7579848766326904
2,1423,259,1673,618,2.7579848766326904
2,753,188,996,618,2.7579848766326904
3,852,126,1762,1069,2.8326919078826904
3,109,323,894,1069,2.8326919078826904
3,0,385,144,683,2.8326919078826904
3,268,389,436,682,2.8326919078826904
3,1423,257,1667,616,2.8326919078826904
3,751,186,979,616,2.8326919078826904
4,852,125,1762,1069,2.910200357437134
4,107,322,891,1069,2.910200357437134
4,0,385,143,683,2.910200357437134
4,266,390,434,681,2.910200357437134
4,1424,257,1674,617,2.910200357437134
4,754,185,992,616,2.910200357437134
5,850,127,1760,1069,2.9858548641204834
5,106,326,890,1069,2.9858548641204834
5,265,391,434,683,2.9858548641204834
5,0,386,143,684,2.9858548641204834
5,1423,259,1675,618,2.9858548641204834
5,753,187,993,617,2.9858548641204834
6,849,129,1759,1069,3.0606110095977783
6,106,326,891,1069,3.0606110095977783
6,266,391,433,683,3.0606110095977783
6,0,386,143,684,3.0606110095977783
6,748,187,990,618,3.0606110095977783
6,1423,260,1658,619,3.0606110095977783
7,849,129,1759,1069,3.1466152667999268
7,106,326,891,1069,3.1466152667999268
7,267,390,433,684,3.1466152667999268
7,0,386,142,684,3.1466152667999268
7,752,187,983,618,3.1466152667999268
7,1422,260,1657,619,3.1466152667999268
8,849,129,1759,1069,3.214846134185791
8,106,325,891,1069,3.214846134185791
8,267,390,433,684,3.214846134185791
8,0,386,143,684,3.214846134185791
8,751,187,980,618,3.214846134185791
8,1423,260,1658,618,3.214846134185791
9,849,130,1759,1070,3.293627977371216
9,105,326,890,1069,3.293627977371216
9,0,386,143,685,3.293627977371216
